OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310623"",""PA-19-091"")",NIH Research Project Grant (Parent R01 Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/28/2018,05/24/2020,05/12/2020 13:42:12,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310625"",""PA-19-092"")",NIH Exploratory/Developmental Research Grant Program (Parent R21 Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/28/2018,05/24/2020,05/12/2020 13:53:12,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310598"",""PA-19-077"")",Accelerating Malaria Vaccine Discovery (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/26/2018,01/07/2022,11/26/2018 13:06:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310579"",""PAR-19-079"")",Molecular and Genetic Characterization of Inborn Errors of Immunity (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/26/2018,01/07/2022,11/26/2018 11:44:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310595"",""PAR-19-078"")",Molecular and Genetic Characterization of Inborn Errors of Immunity (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/26/2018,01/07/2022,11/26/2018 11:46:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310584"",""PA-19-082"")","Novel approaches to understand, prevent, treat, and diagnose coccidioidomycosis (Valley Fever) and other select endemic fungal infections (R01 Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/26/2018,01/07/2022,11/26/2018 13:47:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310585"",""PA-19-083"")","Novel approaches to understand, prevent, treat, and diagnose coccidioidomycosis (Valley Fever) and other select endemic fungal infections (R21 Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/26/2018,01/07/2022,11/26/2018 13:56:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310597"",""PA-19-075"")",Enabling Technologies to Accelerate Development of Oral Biodevices (R41/R42 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/26/2018,01/05/2022,11/26/2018 12:56:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310581"",""PA-19-076"")",Enabling Technologies to Accelerate Development of Oral Biodevices (R43/R44 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/26/2018,01/05/2022,11/26/2018 12:58:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310583"",""PA-19-081"")",Advancing Development of Rapid Fungal Diagnostics (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/26/2018,01/07/2022,11/26/2018 13:35:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310599"",""PA-19-080"")",Advancing Development of Rapid Fungal Diagnostics (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/26/2018,01/07/2022,11/26/2018 13:36:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310506"",""PA-19-073"")",Telomeres in Wellness and Disease: A Biobehavioral Approach  (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/20/2018,01/07/2022,11/20/2018 12:07:20,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310487"",""PA-19-074"")",Telomeres in Wellness and Disease: A Biobehavioral Approach (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/20/2018,01/07/2022,11/20/2018 12:04:20,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310496"",""PAR-19-072"")",Data Science Research: Personal Health Libraries for Consumers and Patients (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/19/2018,07/30/2021,11/19/2018 10:57:19,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310502"",""72052019RFA00002"")",Pre-solicitation for Sustainable Forest Management,USAID-GUA,Guatemala USAID-Guatemala City,,,"Natalie J Thunberg
Contracting and Agreement Officer",502-5579-9028,guatemalaproposals@usaid.gov,01/14/2019,02/18/2019,11/19/2018,,11/19/2018 17:55:19,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310493"",""720BFS19Q00001"")",RFI for Partnerships and Market Systems Activity,USAID,Agency for International Development,,,"KIMBERLY T TRAN
CONTRACTING AND AGREEMENT OFFICER",2025674111,ktran@usaid.gov,,,11/18/2018,,11/18/2018 20:51:18,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310375"",""PAR-19-070"")",Research on Current Topics in Alzheimer's Disease and Its Related Dementias (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/16/2018,11/12/2021,11/16/2018 09:53:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310372"",""HHS-2019-ACL-AOD-AD-0323"")",Help America Vote Act (HAVA) Training and Technical Assistance,HHS-ACL,Administration for Community Living,485640,2,Melvenia Wright,(202) 795-7472,Melvenia.Wright@acl.hhs.gov,03/08/2019,05/10/2019,11/16/2018,,11/16/2018 11:08:16,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310376"",""PAR-19-071"")",Research on Current Topics in Alzheimer's Disease and Its Related Dementias (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/16/2018,11/12/2021,11/16/2018 10:15:16,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310368"",""19-528"")",Dynamics of  Integrated Socio-Environmental Systems,NSF,National Science Foundation,18000000,15,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,11/16/2018,11/16/2020,11/26/2019 01:00:26,Synopsis 7,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310320"",""PA-19-065"")","Medical Simulators for Practicing Patient Care Providers  Skill Acquisition, Outcomes Assessment and Technology Development (R01 Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/13/2018,01/07/2022,11/13/2018 14:50:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310316"",""PA-19-067"")",Processing and Presentation of Non-Conventional MHC Ligands (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/13/2018,01/07/2022,11/13/2018 11:17:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310315"",""PA-19-066"")",Processing and Presentation of Non-Conventional MHC Ligands (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/13/2018,01/07/2022,11/13/2018 10:59:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310334"",""PA-19-068"")",Secondary Analysis of Existing Datasets for Advancing Infectious Disease Research (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/13/2018,01/07/2022,11/13/2018 12:37:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310285"",""PAR-19-064"")",Mechanism for Time-Sensitive Drug Abuse Research (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/09/2018,10/08/2021,12/19/2019 13:57:19,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310305"",""PAR-19-061"")",Investigator Initiated Research in Computational Genomics and Data Science (R43/R44 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/08/2018,09/05/2021,11/09/2018 11:42:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310239"",""PAR-19-057"")",Strategies to Provide Culturally Tailored Palliative and End-of-Life Care for Seriously Ill American Indian and Alaska Native Individuals (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/07/2018,01/07/2022,11/07/2018 09:00:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310238"",""PAR-19-058"")",Strategies to Provide Culturally Tailored Palliative and End-of-Life Care for Seriously Ill American Indian and Alaska Native Individuals (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/07/2018,01/07/2022,11/07/2018 08:59:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310258"",""PAR-19-060"")",NINR Clinical Trial Planning Grant (R34 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/07/2018,01/07/2022,11/07/2018 13:06:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310232"",""19-521"")",CyberCorps(R) Scholarship for Service,NSF,National Science Foundation,15000000,12,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,11/07/2018,07/31/2020,08/08/2019 01:00:08,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310235"",""19-524"")",Training-based Workforce Development for Advanced Cyberinfrastructure,NSF,National Science Foundation,6000000,18,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,11/07/2018,01/20/2021,01/23/2020 01:00:23,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310146"",""RFI-522-19-00001"")",Integrated Violence Prevention,USAID-HON,Honduras USAID-Tegucigalpa,,,"Vann D. Rolfson
Contracting Officer /

Claudia Figueroa
A&A Specialist",50422369320,oaahonduras@usaid.gov,,11/20/2018,11/05/2018,,11/05/2018 18:04:05,Forecast 7,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310173"",""NOT-OD-19-024"")",Notice of Intent to Publish Parent Funding Opportunity Announcements for Basic Experimental Studies with Humans,HHS-NIH11,National Institutes of Health,,,,,,,,11/05/2018,,11/05/2018 00:00:05,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310156"",""PA-19-056"")",Research Project Grant (Parent R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/05/2018,05/24/2020,05/12/2020 13:39:12,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310141"",""PA-19-055"")",Research Project Grant (Parent R01 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/05/2018,05/24/2020,05/12/2020 13:44:12,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310138"",""PA-19-053"")",NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/05/2018,05/24/2020,05/12/2020 13:49:12,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310139"",""PA-19-054"")",NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/05/2018,05/24/2020,05/12/2020 13:51:12,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310158"",""PA-19-052"")",NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/05/2018,05/24/2020,05/12/2020 13:47:12,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310114"",""PAR-19-051"")",Emerging Global Leader Award (K43 Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/02/2018,11/04/2020,11/02/2018 11:16:02,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310070"",""PA-19-049"")",New Research Directions that Advance the NHLBI Strategic Vision  Normal Biology (R21 - Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/01/2018,01/07/2022,11/01/2018 12:40:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310089"",""PA-19-050"")","Engaging Men in HIV Testing, Prevention, and Care (R21 Clinical Trial Optional)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/01/2018,09/07/2021,11/01/2018 13:03:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310090"",""PA-19-042"")","Engaging Men in HIV Testing, Prevention, and Care (R01 Clinical Trial Optional)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/01/2018,09/07/2021,11/01/2018 13:48:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310053"",""PA-19-047"")",Advancing Research in Augmentative and Alternative Communication (AAC) (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/31/2018,01/07/2022,10/31/2018 11:04:31,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310035"",""PA-19-046"")",Advancing Research in Augmentative and Alternative Communication (AAC) (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/31/2018,01/07/2022,10/31/2018 11:01:31,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310036"",""PA-19-043"")",Novel Approaches for Relating Genetic Variation to Function and Disease (R43/R44 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/31/2018,09/05/2021,10/31/2018 12:42:31,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310033"",""PAR-19-044"")",End-of-Life and Palliative Care Approaches to Advanced Signs and Symptoms (R21- Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/31/2018,01/07/2022,10/31/2018 10:22:31,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310032"",""PAR-19-045"")",End-of-Life and Palliative Care Approaches to Advanced Signs and Symptoms (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/31/2018,01/07/2022,10/31/2018 10:25:31,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310004"",""19-515"")",Ceramics,NSF,National Science Foundation,10000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,10/30/2018,,10/30/2018 01:00:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310029"",""RDBCP-REAP-RES-EEI-2019"")",Renewable Energy Systems and Energy Efficiency Improvements Program,USDA-rbcs,Business and Cooperative Programs,35400000,1000,"Maureen Hessel
Business Loan and Grant Analyst
Phone 2024010142",,maureen.hessel@wdc.usda.gov,,,10/30/2018,,10/30/2018 16:44:30,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310010"",""W911NF-19-S-0001"")",Strengthening Teamwork for Robust Operations in Novel Groups (STRONG),DOD-AMC,Dept of the Army -- Materiel Command,,,"Nikolaos Georgakopoulos
Contract Specialist
Phone 919-541-0817",,nikolaos.georgakopoulos.civ@mail.mil,,,10/30/2018,,10/31/2019 13:32:31,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=309956"",""PAR-19-039"")",Countermeasures Against Chemical Threats (CounterACT): Identification of Therapeutic Lead Compounds (U01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/26/2018,09/14/2021,10/26/2018 11:11:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=309957"",""PAR-19-040"")",Countermeasures Against Chemical Threats (CounterACT): Optimization of Therapeutic Lead Compounds (U01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/26/2018,09/14/2021,10/26/2018 11:54:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=309899"",""19-512"")",CISE Community Research Infrastructure,NSF,National Science Foundation,25000000,20,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,10/26/2018,01/14/2021,01/17/2020 07:17:17,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=309880"",""PAR-19-036"")",Medical Scientist Training Program (T32),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/25/2018,09/07/2021,10/25/2018 13:33:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=309881"",""PAR-19-037"")",Initiative for Maximizing Student Development (IMSD) (T32),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/25/2018,01/28/2021,10/25/2018 13:45:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=309853"",""PA-19-034"")",Commercializing Understudied Proteins from the Illuminating the Druggable Genome Project (IDG) (R43/R44 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/24/2018,09/05/2021,10/24/2018 09:31:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=309854"",""PA-19-033"")",Commercializing Understudied Proteins from the Illuminating the Druggable Genome Project (IDG) (R41/R42 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/24/2018,09/05/2021,10/24/2018 09:34:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=309840"",""AFPMB-BAA-19-01"")",Armed Forces Pest Management Board Broad Agency Announcement,DOD-AMC-ACCAPGD,ACC-APG-Detrick,,10,"Richard W Totten
Grants Officer
Phone 3016192446",,richard.w.totten2.civ@mail.mil,,,10/23/2018,10/25/2021,11/24/2018 15:19:24,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=309776"",""RFA-NS-19-006"")",BRAIN Initiative: Research Resource Grants for Technology Integration and Dissemination (U24 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,10000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,10/22/2018,06/27/2021,10/22/2018 11:57:22,Synopsis 1,
